week,ycrit
2025-06-16 00:00:00+00:00,0
2025-06-23 00:00:00+00:00,87
2025-06-30 00:00:00+00:00,2
2025-07-07 00:00:00+00:00,0
2025-07-14 00:00:00+00:00,5
2025-07-21 00:00:00+00:00,0
2025-07-28 00:00:00+00:00,3
2025-08-04 00:00:00+00:00,0
2025-08-11 00:00:00+00:00,12
2025-08-18 00:00:00+00:00,3
2025-08-25 00:00:00+00:00,2
2025-09-01 00:00:00+00:00,3
2025-09-08 00:00:00+00:00,8
2025-09-15 00:00:00+00:00,54
2025-09-22 00:00:00+00:00,55
2025-09-29 00:00:00+00:00,0
2025-10-06 00:00:00+00:00,64
2025-10-13 00:00:00+00:00,25
2025-10-20 00:00:00+00:00,1
2025-10-27 00:00:00+00:00,0
2025-11-03 00:00:00+00:00,11
2025-11-10 00:00:00+00:00,9
2025-11-17 00:00:00+00:00,0
2025-11-24 00:00:00+00:00,0
2025-12-01 00:00:00+00:00,0
2025-12-08 00:00:00+00:00,3
2025-12-15 00:00:00+00:00,42
2025-12-22 00:00:00+00:00,48
2025-12-29 00:00:00+00:00,11
2026-01-05 00:00:00+00:00,21
2026-01-12 00:00:00+00:00,6
2026-01-19 00:00:00+00:00,69
2026-01-26 00:00:00+00:00,8
2026-02-02 00:00:00+00:00,18
2026-02-09 00:00:00+00:00,31
2026-02-16 00:00:00+00:00,32
2026-02-23 00:00:00+00:00,23
2026-03-02 00:00:00+00:00,9
2026-03-09 00:00:00+00:00,11
2026-03-16 00:00:00+00:00,29
2026-03-23 00:00:00+00:00,6
2026-03-30 00:00:00+00:00,3
